Window,MMSI,Average_SOG,STD_SOG,distance_to_coast_m,far_from_coast,mean_acceleration,std_acceleration,mean_abs_acceleration,mean_turning_intensity,max_turning_intensity,turning_spike_count,avg_distance_between_pings,density,max_SOG,min_SOG,delta_SOG,Behavior_Label
2025-02-18 09:30:00,219027026,9.654022988505746,0.04998172544919331,43450.37656385993,1,-6.356670149773574e-05,0.003967137579512648,0.001554336468129566,1.3638398988274891,114.7533572455527,3,50.95092463939101,0.0196267253403215,9.7,9.6,0.09999999999999964,1
2025-02-18 10:00:00,219027026,9.64245810055866,0.04956657285597341,34728.44442459831,1,6.695043007892147e-05,0.0023359417745603766,0.0005618434948043866,2.390143350339099,116.61765368919896,5,49.50631999032131,0.020199437126434218,9.7,9.6,0.09999999999999964,1
2025-02-18 10:30:00,219027026,9.761497326203209,0.048790794823196475,25773.025032458623,1,5.52883180240351e-05,0.0029820131044408188,0.0008833550819196877,3.3543071006062415,114.29147811388214,8,47.78298564829363,0.020927946991027773,9.8,9.7,0.10000000000000142,1
2025-02-18 11:00:00,219027026,9.810869565217391,0.05321678879494755,16922.22673952151,1,2.011678570602934e-05,0.003650106945513926,0.0011911809745047777,2.2420050451261178,114.47601099769946,5,48.83204305128948,0.020478352588404913,9.9,9.7,0.20000000000000107,1
2025-02-18 11:30:00,219027026,9.889637305699482,0.05679250479628639,8085.598263845155,1,-0.0001961323075312706,0.0036976587784175396,0.0009257078557596659,1.1073839703833468,37.45883510615332,4,46.9206411173422,0.021312577216781054,10.0,9.8,0.1999999999999993,1
2025-02-18 12:00:00,219027026,4.449484536082474,3.516830186541131,1322.796994246564,1,-0.009497292512756432,0.023430129476400347,0.013483546808289077,6.347286227232114,171.1834322212119,9,12.808815080485473,0.07807117309483147,9.9,0.0,9.9,1
2025-02-18 12:30:00,219027026,0.0,0.0,719.5735661078572,1,0.0,0.0,0.0,9.398208400412944,45.95401790865469,6,0.683357730059125,1.463340974431848,0.0,0.0,0.0,0
2025-02-18 13:00:00,219027026,0.0,0.0,719.602249732375,1,0.0,0.0,0.0,8.223315599485657,51.89965813494351,4,0.638826784480081,1.5653450525925063,0.0,0.0,0.0,0
2025-02-18 13:30:00,219027026,0.0,0.0,719.1681444110438,1,0.0,0.0,0.0,9.836713679384562,45.8867191469169,11,0.7712968726928096,1.2965008291819964,0.0,0.0,0.0,0
2025-02-18 14:00:00,219027026,0.0,0.0,719.2988689620639,1,0.0,0.0,0.0,8.28897182697642,75.75202067323463,5,0.8379760480751026,1.1933372903964832,0.0,0.0,0.0,0
2025-02-18 14:30:00,219027026,0.0,0.0,719.8934234793336,1,0.0,0.0,0.0,10.856209838014829,151.50405256388336,11,0.7249336549717104,1.3794175494080616,0.0,0.0,0.0,0
2025-02-18 15:00:00,219027026,5.751525423728814,3.825361489102777,1865.5164643347355,1,0.010158876904639614,0.03087407148356328,0.01694367402841979,3.7520374254332265,167.74866957094406,5,19.368300712023974,0.05163072891944022,9.8,0.0,9.8,1
2025-02-18 15:30:00,219027026,9.623118279569892,0.06700509854942874,10097.307190776924,1,0.00018559248397958104,0.003966705293265243,0.0015584609536222393,1.9921789828865728,62.60788060729254,6,47.81107444221023,0.020915651917678434,9.8,9.5,0.3000000000000007,1
2025-02-18 16:00:00,219027026,9.624309392265193,0.04790260222768819,18880.66706282268,1,-0.00012821586026005968,0.002365621586139118,0.0005523466711312005,0.729384659579766,31.39715936128215,1,49.19781248762923,0.02032610285244737,9.8,9.6,0.20000000000000107,1
2025-02-18 16:30:00,219027026,9.669613259668507,0.04612018888951277,27737.291920022108,1,5.636475249734899e-05,0.0019304801361280752,0.000377811261789161,0.7727736379055465,62.72024309965127,2,49.248055053612134,0.020305366290257008,9.7,9.6,0.09999999999999964,1
